ticker,cluster,cluster_size,cluster_members,avg_dv_rank
QQQ,33,17,"CGGR,IOO,IUSG,IVW,IWY,JEPQ,MAGS,OEF,ONEQ,QQQ,QQQI,QQQM,SCHG,SPYG,SPYI,VONG,XLG",1.0
IWM,3,8,"IWC,IWM,IWO,SCHA,VB,VBK,VTWO,VXF",2.0
VOO,34,21,"ACWI,CGDV,DFAC,DYNF,ESGU,ITOT,IVV,IWB,IWV,JGLO,LRGF,MGC,QUAL,SCHB,SCHX,SPTM,URTH,VOO,VT,VTI,VV",3.0
TLT,21,2,"TLT,ZROZ",5.0
IBIT,31,6,"ARKB,BITO,ETHA,FBTC,FETH,IBIT",6.0
RSP,5,17,"IJH,IJJ,IJK,IJR,IJT,IWN,IWR,IWS,MDY,RSP,SLYG,SLYV,SPMD,SPSM,VBR,VIOO,VOE",7.0
SMH,40,3,"PSI,SMH,SOXX",8.0
DIA,8,16,"DGRO,DIA,FNDX,IVE,IWD,MGV,RDVY,SCHV,SPGP,SPHQ,SPYV,VIG,VLUE,VONV,VTV,VYM",9.0
XLF,2,6,"FXO,IAI,IYF,KBWB,VFH,XLF",10.0
XLK,32,6,"FTEC,IGM,IXN,IYW,RSPT,XLK",11.0
XLE,28,7,"FENY,FXN,IXC,IYE,VDE,XLE,XOP",13.0
GDX,50,5,"AAAU,GDX,GDXJ,SIL,SILJ",14.0
XLV,10,2,"IHI,XLV",15.0
XLI,7,5,"IFRA,IYJ,PAVE,VIS,XLI",16.0
EEM,59,12,"AAXJ,AVEM,DEM,DFAE,EEM,EEMV,EMXC,EWT,EWY,IEMG,SPEM,VWO",17.0
EFA,49,26,"ACWX,AVDV,BBIN,CWI,DFAX,DFIC,EFA,EFG,FNDF,GSIE,IDEV,IEFA,IQLT,IXUS,JIRE,SCHF,SCZ,SPDW,VEA,VEU,VIGI,VNQI,VPL,VSGX,VSS,VXUS",18.0
XLP,23,3,"IYK,VDC,XLP",20.0
XLY,36,2,"VCR,XLY",21.0
FXI,60,4,"ASHR,FXI,KWEB,MCHI",22.0
XBI,9,3,"ARKG,IBB,XBI",25.0
KRE,1,3,"IAT,KBE,KRE",26.0
XLU,24,2,"FUTY,XLU",28.0
EWZ,52,1,EWZ,30.0
IGV,38,4,"CIBR,FDN,IGV,SKYY",31.0
IWF,26,7,"HDV,IWF,MGK,VGT,VO,VOOG,VUG",34.0
ARKK,41,3,"ARKK,ARKW,ULTY",35.0
XLC,37,2,"VOX,XLC",38.0
IYR,22,6,"IYR,REET,RWR,SCHH,VNQ,XLRE",41.0
XLB,18,3,"IYM,VAW,XLB",43.0
EWJ,45,3,"BBJP,DXJ,EWJ",45.0
SCHD,17,9,"DVY,FDL,FTCS,NOBL,RPV,SCHD,SDY,SPHD,SPYD",51.0
XRT,4,4,"CALF,COWZ,MOAT,XRT",57.0
INDA,13,1,INDA,63.0
VGK,46,7,"BBEU,EWG,EWI,EZU,FEZ,IEUR,VGK",72.0
ITB,19,2,"ITB,XHB",73.0
XME,56,2,"URA,XME",77.0
EFV,47,6,"DFIV,EFAV,EFV,EWU,IDV,IVLU",82.0
MTUM,35,6,"BOTZ,IMCG,IWP,MTUM,RPG,SPMO",84.0
COPX,55,4,"COPX,EZA,GUNR,PICK",86.0
ITA,39,2,"ITA,PPA",104.0
OIH,29,1,OIH,110.0
EWC,54,2,"BBCA,EWC",126.0
EWW,51,1,EWW,128.0
JETS,6,1,JETS,143.0
PDBC,27,2,"FTGC,PDBC",153.0
REMX,57,1,REMX,166.0
CWB,42,3,"CWB,ICLN,ICVT",176.0
IGF,25,1,IGF,190.0
MSOS,16,1,MSOS,193.0
IYZ,43,1,IYZ,197.0
HEFA,44,3,"DBEF,HEFA,IHDG",200.0
KSA,14,1,KSA,216.0
ECH,53,1,ECH,222.0
DBMF,58,1,DBMF,228.0
EWS,48,3,"BBAX,EPP,EWS",236.0
IHF,11,1,IHF,245.0
VNM,15,1,VNM,256.0
REM,20,1,REM,257.0
MLPA,30,1,MLPA,270.0
EIDO,12,1,EIDO,271.0
