ticker,cluster,cluster_size,cluster_members,avg_dv_rank
QQQ,51,14,"CGGR,IOO,IUSG,IVW,IWY,MAGS,OEF,ONEQ,QQQ,QQQM,SCHG,SPYG,VONG,XLG",1.0
IWM,4,8,"IWC,IWM,IWO,SCHA,VB,VBK,VTWO,VXF",2.0
VOO,52,14,"DYNF,ESGU,ITOT,IVV,IWB,IWV,LRGF,MGC,SCHB,SCHX,SPTM,VOO,VTI,VV",3.0
TLT,35,2,"TLT,ZROZ",5.0
IBIT,48,4,"ARKB,BITO,FBTC,IBIT",6.0
RSP,10,4,"IWR,IWS,RSP,VOE",7.0
SMH,62,3,"PSI,SMH,SOXX",8.0
DIA,14,12,"DGRO,DIA,FNDX,IVE,IWD,MGV,SCHV,SPYV,VIG,VONV,VTV,VYM",9.0
XLF,2,5,"FXO,IYF,KBWB,VFH,XLF",10.0
XLK,49,6,"FTEC,IGM,IXN,IYW,RSPT,XLK",11.0
XLE,44,5,"FENY,IXC,IYE,VDE,XLE",13.0
GDX,82,4,"GDX,GDXJ,SIL,SILJ",14.0
XLV,20,1,XLV,15.0
XLI,12,4,"IYJ,PAVE,VIS,XLI",16.0
EEM,95,9,"AAXJ,AVEM,DFAE,EEM,EEMV,EMXC,IEMG,SPEM,VWO",17.0
EFA,80,11,"BBIN,DFIC,EFA,EFG,GSIE,IDEV,IEFA,IQLT,JIRE,SPDW,VIGI",18.0
XLP,37,3,"IYK,VDC,XLP",20.0
XLY,57,2,"VCR,XLY",21.0
FXI,99,3,"FXI,KWEB,MCHI",22.0
EWY,98,1,EWY,23.0
XBI,17,2,"IBB,XBI",25.0
KRE,1,3,"IAT,KBE,KRE",26.0
XLU,38,2,"FUTY,XLU",28.0
ETHA,47,2,"ETHA,FETH",29.0
EWZ,85,1,EWZ,30.0
IGV,59,3,"CIBR,IGV,SKYY",31.0
VEA,78,12,"ACWX,CWI,DFAX,FNDF,IXUS,SCHF,VEA,VEU,VPL,VSGX,VSS,VXUS",32.0
IWF,40,7,"HDV,IWF,MGK,VGT,VO,VOOG,VUG",34.0
ARKK,63,2,"ARKK,ARKW",35.0
IJH,9,4,"IJH,IJK,MDY,SPMD",37.0
XLC,58,2,"VOX,XLC",38.0
IYR,36,6,"IYR,REET,RWR,SCHH,VNQ,XLRE",41.0
IJR,8,9,"IJJ,IJR,IJT,IWN,SLYG,SLYV,SPSM,VBR,VIOO",42.0
XLB,32,3,"IYM,VAW,XLB",43.0
EWJ,69,2,"BBJP,EWJ",45.0
ACWI,53,7,"ACWI,CGDV,DFAC,JGLO,QUAL,URTH,VT",48.0
XOP,43,2,"FXN,XOP",49.0
SCHD,29,2,"FDL,SCHD",51.0
XRT,7,1,XRT,57.0
INDA,23,1,INDA,63.0
JEPQ,50,3,"JEPQ,QQQI,SPYI",65.0
EWT,96,1,EWT,69.0
VGK,71,7,"BBEU,EWG,EWI,EZU,FEZ,IEUR,VGK",72.0
ITB,33,2,"ITB,XHB",73.0
XME,92,1,XME,77.0
URA,91,1,URA,80.0
EFV,72,3,"DFIV,EFV,IVLU",82.0
MTUM,54,2,"MTUM,SPMO",84.0
COPX,88,2,"COPX,PICK",86.0
ASHR,100,1,ASHR,87.0
ITA,61,2,"ITA,PPA",104.0
OIH,45,1,OIH,110.0
FDN,60,1,FDN,118.0
IWP,55,3,"IMCG,IWP,RPG",120.0
AAAU,83,1,AAAU,122.0
EWC,87,2,"BBCA,EWC",126.0
EWW,84,1,EWW,128.0
COWZ,5,2,"CALF,COWZ",130.0
SPHQ,15,3,"RDVY,SPGP,SPHQ",133.0
SCZ,79,2,"AVDV,SCZ",137.0
VLUE,16,1,VLUE,139.0
ULTY,64,1,ULTY,140.0
JETS,11,1,JETS,143.0
PDBC,42,1,PDBC,153.0
MOAT,6,1,MOAT,157.0
EWU,73,1,EWU,159.0
IHI,19,1,IHI,161.0
REMX,93,1,REMX,166.0
ARKG,18,1,ARKG,167.0
SPYD,30,2,"SPHD,SPYD",171.0
NOBL,27,2,"NOBL,SDY",172.0
CWB,65,2,"CWB,ICVT",176.0
ICLN,66,1,ICLN,177.0
DXJ,70,1,DXJ,179.0
DVY,31,2,"DVY,RPV",182.0
IGF,39,1,IGF,190.0
MSOS,26,1,MSOS,193.0
IYZ,67,1,IYZ,197.0
EFAV,75,1,EFAV,198.0
HEFA,68,3,"DBEF,HEFA,IHDG",200.0
IDV,74,1,IDV,201.0
FTCS,28,1,FTCS,202.0
KSA,24,1,KSA,216.0
ECH,86,1,ECH,222.0
BOTZ,56,1,BOTZ,224.0
DBMF,94,1,DBMF,228.0
IAI,3,1,IAI,230.0
GUNR,90,1,GUNR,233.0
EWS,77,1,EWS,236.0
EPP,76,2,"BBAX,EPP",241.0
IHF,21,1,IHF,245.0
FTGC,41,1,FTGC,248.0
EZA,89,1,EZA,249.0
VNQI,81,1,VNQI,254.0
VNM,25,1,VNM,256.0
REM,34,1,REM,257.0
IFRA,13,1,IFRA,261.0
MLPA,46,1,MLPA,270.0
EIDO,22,1,EIDO,271.0
DEM,97,1,DEM,274.0
