k,method,avg_pairwise_abs_corr,n_etfs
all,—,0.509327246372821,435
20,hierarchical,0.2869678396490049,20
40,hierarchical,0.3256875243471774,40
60,hierarchical,0.3314645119484831,60
20,greedy,0.11841092572937514,20
40,greedy,0.1452239246638631,40
60,greedy,0.16319772457867116,60
