ticker,cluster,cluster_size,cluster_members,avg_dv_rank
QQQ,24,23,"CGGR,FTEC,IGM,IOO,IUSG,IVW,IWY,IXN,IYW,JEPQ,MAGS,OEF,ONEQ,QQQ,QQQI,QQQM,RSPT,SCHG,SPYG,SPYI,VONG,XLG,XLK",1.0
IWM,2,8,"IWC,IWM,IWO,SCHA,VB,VBK,VTWO,VXF",2.0
VOO,25,27,"ACWI,BOTZ,CGDV,DFAC,DYNF,ESGU,IMCG,ITOT,IVV,IWB,IWP,IWV,JGLO,LRGF,MGC,MTUM,QUAL,RPG,SCHB,SCHX,SPMO,SPTM,URTH,VOO,VT,VTI,VV",3.0
TLT,16,2,"TLT,ZROZ",5.0
IBIT,23,6,"ARKB,BITO,ETHA,FBTC,FETH,IBIT",6.0
RSP,3,22,"CALF,COWZ,IJH,IJJ,IJK,IJR,IJT,IWN,IWR,IWS,JETS,MDY,MOAT,RSP,SLYG,SLYV,SPMD,SPSM,VBR,VIOO,VOE,XRT",7.0
SMH,29,3,"PSI,SMH,SOXX",8.0
DIA,5,16,"DGRO,DIA,FNDX,IVE,IWD,MGV,RDVY,SCHV,SPGP,SPHQ,SPYV,VIG,VLUE,VONV,VTV,VYM",9.0
XLF,1,9,"FXO,IAI,IAT,IYF,KBE,KBWB,KRE,VFH,XLF",10.0
XLE,22,9,"FENY,FXN,IXC,IYE,MLPA,OIH,VDE,XLE,XOP",13.0
GDX,34,5,"AAAU,GDX,GDXJ,SIL,SILJ",14.0
XLV,7,3,"IHF,IHI,XLV",15.0
XLI,4,5,"IFRA,IYJ,PAVE,VIS,XLI",16.0
EEM,39,12,"AAXJ,AVEM,DEM,DFAE,EEM,EEMV,EMXC,EWT,EWY,IEMG,SPEM,VWO",17.0
EFA,33,42,"ACWX,AVDV,BBAX,BBEU,BBIN,CWI,DFAX,DFIC,DFIV,EFA,EFAV,EFG,EFV,EPP,EWG,EWI,EWS,EWU,EZU,FEZ,FNDF,GSIE,IDEV,IDV,IEFA,IEUR,IQLT,IVLU,IXUS,JIRE,SCHF,SCZ,SPDW,VEA,VEU,VGK,VIGI,VNQI,VPL,VSGX,VSS,VXUS",18.0
XLP,18,3,"IYK,VDC,XLP",20.0
XLY,26,4,"VCR,VOX,XLC,XLY",21.0
FXI,40,4,"ASHR,FXI,KWEB,MCHI",22.0
XBI,6,3,"ARKG,IBB,XBI",25.0
XLU,19,3,"FUTY,IGF,XLU",28.0
EWZ,35,3,"ECH,EWW,EWZ",30.0
IGV,27,4,"CIBR,FDN,IGV,SKYY",31.0
IWF,20,7,"HDV,IWF,MGK,VGT,VO,VOOG,VUG",34.0
ARKK,30,3,"ARKK,ARKW,ULTY",35.0
IYR,17,6,"IYR,REET,RWR,SCHH,VNQ,XLRE",41.0
XLB,14,3,"IYM,VAW,XLB",43.0
EWJ,32,6,"BBJP,DBEF,DXJ,EWJ,HEFA,IHDG",45.0
SCHD,13,9,"DVY,FDL,FTCS,NOBL,RPV,SCHD,SDY,SPHD,SPYD",51.0
INDA,9,1,INDA,63.0
ITB,15,3,"ITB,REM,XHB",73.0
XME,37,3,"REMX,URA,XME",77.0
COPX,36,6,"BBCA,COPX,EWC,EZA,GUNR,PICK",86.0
ITA,28,2,"ITA,PPA",104.0
PDBC,21,2,"FTGC,PDBC",153.0
CWB,31,4,"CWB,ICLN,ICVT,IYZ",176.0
MSOS,12,1,MSOS,193.0
KSA,10,1,KSA,216.0
DBMF,38,1,DBMF,228.0
VNM,11,1,VNM,256.0
EIDO,8,1,EIDO,271.0
